iter	Passed	Remaining
0	1	143
1	2	131
2	3	124
3	4	118
4	6	115
5	7	112
6	8	113
7	9	114
8	12	122
9	14	127
10	15	125
11	16	123
12	18	121
13	19	119
14	20	118
15	22	116
16	23	115
17	25	117
18	28	120
19	29	118
20	31	116
21	32	115
22	34	113
23	35	112
24	36	110
25	38	109
26	40	108
27	42	109
28	44	108
29	45	106
30	46	104
31	48	102
32	49	100
33	50	98
34	52	96
35	54	96
36	57	97
37	59	97
38	60	94
39	62	93
40	63	91
41	64	88
42	65	86
43	66	84
44	68	83
45	71	83
46	72	82
47	74	80
48	75	78
49	76	76
50	78	75
51	79	73
52	80	71
53	82	70
54	84	68
55	86	67
56	88	66
57	89	64
58	91	63
59	92	61
60	93	59
61	94	58
62	96	56
63	98	55
64	100	54
65	102	52
66	103	51
67	105	49
68	106	47
69	107	46
70	108	44
71	110	42
72	111	41
73	113	39
74	116	38
75	117	37
76	118	35
77	120	33
78	121	32
79	122	30
80	124	29
81	125	27
82	127	26
83	129	24
84	131	23
85	133	21
86	134	20
87	135	18
88	137	16
89	138	15
90	140	13
91	142	12
92	144	10
93	146	9
94	147	7
95	149	6
96	150	4
97	152	3
98	153	1
99	155	0
